internalTaxonId,commonName,language,main
175221,Mani Kiluki,Tamil,false
175221,Kattuchampa,Malayalam,true
186162,Jayaram's Bush Frog,English,false
186162,Jayaram's Bushfrog,English,true
48886608,Sengupta's Frog,English,true
48874314,Deven's Night Frog,English,true
48874474,Spinular Wrinkled Frog,English,false
48874474,Spinular Night Frog,English,true
48874286,Gavi Wrinkled Frog,English,false
48874286,Gavi Night Frog,English,true
48874266,Wayanad Wrinkled Frog,English,false
48874266,Wayanad Night Frog,English,true
48874250,Indraneil's Wrinkled Frog,English,false
48874250,Indraneil's Night Frog,English,true
48874225,Jog's Night Frog,English,true
48874189,Pillai's Night Frog,English,true
48874217,Periyar Night Frog,English,true
48873111,Sugantha-giri Wrinkled Fro,English,false
48873111,VUB Night Frog,English,true
48872923,Big Headed Horned Frog,English,true
61780183,Andaman Crape Myrtle,English,true
61985348,Indian Podophyllum,English,false
61985348,Podophyllum Resin,English,false
61985348,Ban Kakri,Hindi,false
61985348,Podofilo del Himalaya,Spanish; Castilian,false
61985348,Resin de Podophylle,French,false
61985348,Himalayan Mayapple,English,true
61987931,Indian Rose Chestnut,English,false
61987931,Nagacuram,Tamil,false
61987931,Nagapoovu,Malayalam,false
61987931,Churuli,Malayalam,true
62038695,Garuan-thai,Manipuri,false
62038695,Memang Narang,Hindi,false
62038695,Indian Wild Orange,English,true
208598052,Cascade Frog,English,false
208598052,Mountain Stream Frog,English,false
208598052,Mountain Sucker Frog,English,false
208598052,Mountain Torrent Frog,English,false
208598052,Surpatayk,Nepali,false
208598052,山湍蛙,Chinese,false
208598052,Mountain Cascade Frog,English,true
73787038,Anamalai Bush Frog,English,true
73787369,Spiny Bush Frog,English,true
73788607,Yellowish Golden-backed Frog,English,true
73788764,Urban Golden-backed Frog,English,true
73788782,Maharashtra Golden-backed Frog,English,true
73788833,Large Golden-backed Frog,English,true
73959431,Kurichiyar Dancing Frog,English,true
73960020,Niluvasei Torrent Frog,English,false
73960020,Niluvase Dancing Frog,English,true
73960040,Sairandhri Torrent Frog,English,false
73960040,Sairandhri Dancing Frog,English,true
73961281,Nilgiris Torrent Frog,English,false
73961281,Cave Dancing Frog,English,true
73963691,Amboli Torrent Frog,English,false
73963691,Northern Dancing Frog,English,true
73964539,Beautiful Torrential Frog,English,false
73964539,Beautiful Dancing Frog,English,true
73965400,Pandimotta Torrent Fro,English,false
73965400,Mallan's Dancing Frog,English,true
73965533,Kerala Tropical Frog,English,false
73965533,Naked Torrent Frog,English,false
73965533,Naked Dancing Frog,English,true
73967847,Ponmudi Torrent Frog,English,false
73967847,Sali's Dancing Frog,English,true
73967876,Eravikulam Torrent Frog,English,false
73967876,Cold Stream Dancing Frog,English,true
73967915,Black-bellied Torrent Frog,English,false
73967915,Black-bellied Dancing Frog,English,true
73971314,Spotted Torrent Frog,English,false
73971314,Spotted Dancing Frog,English,true
73972049,Brown Tropical Frog,English,false
73972049,Dusky Torrent Frog,English,false
73972049,Kalakkad Dancing Frog,English,true
73972645,Kallar Torrent Frog,English,false
73972645,Kallar Dancing Frog,English,true
191004,Chilapata White Lipped Cricket Frog,English,false
191004,Chilapata Rainpool Frog,English,true
189814,Eravikulam Bush Frog,English,false
189814,Resplendent Bush Frog,English,true
87739329,Yellow-bellied Bush Frog,English,false
87739329,Malabar Bubble-nest Frog,English,true
87739247,Large-sized Ghat Tree Frog,English,true
