internalTaxonId,scientificName,name,language,main
175221,Syzygium rama-varmae,Mani Kiluki,Tamil,false
175221,Syzygium rama-varmae,Kattuchampa,Malayalam,true
186162,Raorchestes jayarami,Jayaram's Bush Frog,English,false
186162,Raorchestes jayarami,Jayaram's Bushfrog,English,true
48886608,Minervarya sengupti,Sengupta's Frog,English,true
48874314,Nyctibatrachus deveni,Deven's Night Frog,English,true
48874474,Nyctibatrachus acanthodermis,Spinular Wrinkled Frog,English,false
48874474,Nyctibatrachus acanthodermis,Spinular Night Frog,English,true
48874286,Nyctibatrachus gavi,Gavi Wrinkled Frog,English,false
48874286,Nyctibatrachus gavi,Gavi Night Frog,English,true
48874266,Nyctibatrachus grandis,Wayanad Wrinkled Frog,English,false
48874266,Nyctibatrachus grandis,Wayanad Night Frog,English,true
48874250,Nyctibatrachus indraneili,Indraneil's Wrinkled Frog,English,false
48874250,Nyctibatrachus indraneili,Indraneil's Night Frog,English,true
48874225,Nyctibatrachus jog,Jog's Night Frog,English,true
48874189,Nyctibatrachus pillaii,Pillai's Night Frog,English,true
48874217,Nyctibatrachus periyar,Periyar Night Frog,English,true
48873111,Nyctibatrachus vrijeuni,Sugantha-giri Wrinkled Fro,English,false
48873111,Nyctibatrachus vrijeuni,VUB Night Frog,English,true
48872923,Megophrys megacephala,Big Headed Horned Frog,English,true
61780183,Lagerstroemia hypoleuca,Andaman Crape Myrtle,English,true
61985348,Podophyllum hexandrum,Indian Podophyllum,English,false
61985348,Podophyllum hexandrum,Podophyllum Resin,English,false
61985348,Podophyllum hexandrum,Ban Kakri,Hindi,false
61985348,Podophyllum hexandrum,Podofilo del Himalaya,Spanish; Castilian,false
61985348,Podophyllum hexandrum,Resin de Podophylle,French,false
61985348,Podophyllum hexandrum,Himalayan Mayapple,English,true
61987931,Mesua ferrea,Indian Rose Chestnut,English,false
61987931,Mesua ferrea,Nagacuram,Tamil,false
61987931,Mesua ferrea,Nagapoovu,Malayalam,false
61987931,Mesua ferrea,Churuli,Malayalam,true
62038695,Citrus indica,Garuan-thai,Manipuri,false
62038695,Citrus indica,Memang Narang,Hindi,false
62038695,Citrus indica,Indian Wild Orange,English,true
208598052,Amolops monticola,Cascade Frog,English,false
208598052,Amolops monticola,Mountain Stream Frog,English,false
208598052,Amolops monticola,Mountain Sucker Frog,English,false
208598052,Amolops monticola,Mountain Torrent Frog,English,false
208598052,Amolops monticola,Surpatayk,Nepali,false
208598052,Amolops monticola,山湍蛙,Chinese,false
208598052,Amolops monticola,Mountain Cascade Frog,English,true
73787038,Raorchestes blandus,Anamalai Bush Frog,English,true
73787369,Raorchestes echinatus,Spiny Bush Frog,English,true
73788607,Hylarana flavescens,Yellowish Golden-backed Frog,English,true
73788764,Hylarana urbis,Urban Golden-backed Frog,English,true
