internalTaxonId,actionCode,actionName
175221,3.2,Species recovery
175221,3.4.2,Genome resource bank
175221,1.1,Site/area protection
175221,1.2,Resource & habitat protection
186162,1.1,Site/area protection
186162,1.2,Resource & habitat protection
48886608,1.2,Resource & habitat protection
48874314,1.1,Site/area protection
48874474,1.1,Site/area protection
48874474,1.2,Resource & habitat protection
48874286,1.1,Site/area protection
48874286,4.3,Awareness & communications
48874286,1.2,Resource & habitat protection
48874266,1.1,Site/area protection
48874266,1.2,Resource & habitat protection
48874250,1.1,Site/area protection
48874225,1.1,Site/area protection
48874225,4.3,Awareness & communications
48874225,1.2,Resource & habitat protection
48874189,1.1,Site/area protection
48874189,4.3,Awareness & communications
48874189,1.2,Resource & habitat protection
48874217,1.1,Site/area protection
48874217,4.3,Awareness & communications
48874217,1.2,Resource & habitat protection
48873111,1.1,Site/area protection
48872923,1.1,Site/area protection
48872923,1.2,Resource & habitat protection
177756483,1.1,Site/area protection
177756483,4.3,Awareness & communications
177756483,1.2,Resource & habitat protection
208598052,1.1,Site/area protection
208598052,2.1,Site/area management
73786986,1.1,Site/area protection
73786986,1.2,Resource & habitat protection
73787038,1.1,Site/area protection
73787038,1.2,Resource & habitat protection
73787369,2.1,Site/area management
73788607,1.2,Resource & habitat protection
73788607,2.1,Site/area management
73788764,1.2,Resource & habitat protection
73788782,1.2,Resource & habitat protection
73788833,1.1,Site/area protection
73788833,1.2,Resource & habitat protection
73959431,1.2,Resource & habitat protection
73960020,1.1,Site/area protection
73960020,1.2,Resource & habitat protection
73960020,5.2,Policies and regulations
73960040,1.2,Resource & habitat protection
73961281,1.2,Resource & habitat protection
73963691,4.3,Awareness & communications
73963691,1.2,Resource & habitat protection
73964539,1.1,Site/area protection
73964539,1.2,Resource & habitat protection
73965400,1.1,Site/area protection
73965400,1.2,Resource & habitat protection
73965533,1.1,Site/area protection
73965533,1.2,Resource & habitat protection
73967847,1.1,Site/area protection
73967847,4.3,Awareness & communications
73967847,1.2,Resource & habitat protection
73967876,4.3,Awareness & communications
73967876,1.2,Resource & habitat protection
73967876,5.2,Policies and regulations
73967915,1.2,Resource & habitat protection
73967915,2.1,Site/area management
73971314,1.1,Site/area protection
73971314,4.3,Awareness & communications
73971314,1.2,Resource & habitat protection
73972049,1.1,Site/area protection
73972049,1.2,Resource & habitat protection
73972645,1.1,Site/area protection
73972645,1.2,Resource & habitat protection
189814,2.1,Site/area management
87739329,1.1,Site/area protection
87739329,1.2,Resource & habitat protection
87739247,1.2,Resource & habitat protection
112691330,1.1,Site/area protection
112691330,4.3,Awareness & communications
112691330,1.2,Resource & habitat protection
112691501,1.1,Site/area protection
112691501,4.3,Awareness & communications
112691501,1.2,Resource & habitat protection
112691545,1.1,Site/area protection
112691545,4.3,Awareness & communications
112691545,1.2,Resource & habitat protection
36652,3.1.1,Harvest management
36652,3.4.2,Genome resource bank
31199,3.2,Species recovery
31199,5.2,Policies and regulations
31199,2.3,Habitat & natural process restoration
38821,3.2,Species recovery
38821,3.4.2,Genome resource bank
38821,2.1,Site/area management
38821,2.3,Habitat & natural process restoration
31170,3.1.1,Harvest management
31170,3.2,Species recovery
31170,3.4.2,Genome resource bank
31170,1.2,Resource & habitat protection
119243084,1.1,Site/area protection
119243084,1.2,Resource & habitat protection
119243159,1.1,Site/area protection
119243159,1.2,Resource & habitat protection
119243173,1.1,Site/area protection
119243173,1.2,Resource & habitat protection
31220,1.2,Resource & habitat protection
31220,4.3,Awareness & communications
31220,1.1,Site/area protection
33497,1.1,Site/area protection
33497,4.3,Awareness & communications
33497,1.2,Resource & habitat protection
62565,1.2,Resource & habitat protection
62565,4.3,Awareness & communications
62565,1.1,Site/area protection
144052276,1.2,Resource & habitat protection
144052276,4.3,Awareness & communications
144052276,1.1,Site/area protection
144053300,1.2,Resource & habitat protection
144053300,4.3,Awareness & communications
144053300,1.1,Site/area protection
144056383,1.2,Resource & habitat protection
144056383,4.3,Awareness & communications
144056383,1.1,Site/area protection
145290519,1.2,Resource & habitat protection
145290519,4.3,Awareness & communications
145290519,1.1,Site/area protection
145301615,1.2,Resource & habitat protection
145301615,4.3,Awareness & communications
145301615,1.1,Site/area protection
145301728,1.2,Resource & habitat protection
145301728,5.1.1,International level
145301728,1.1,Site/area protection
145301965,1.2,Resource & habitat protection
145301965,4.3,Awareness & communications
145301965,1.1,Site/area protection
145310645,1.2,Resource & habitat protection
145310645,4.3,Awareness & communications
145310645,1.1,Site/area protection
145311979,1.2,Resource & habitat protection
145311979,4.3,Awareness & communications
145311979,1.1,Site/area protection
145344026,1.2,Resource & habitat protection
145344026,4.3,Awareness & communications
145344026,1.1,Site/area protection
145404323,1.2,Resource & habitat protection
145404323,4.3,Awareness & communications
145404323,1.1,Site/area protection
37611,3.4.2,Genome resource bank
37611,3.4.1,Captive breeding/artificial propagation
149680126,1.2,Resource & habitat protection
149682598,1.1,Site/area protection
149682598,1.2,Resource & habitat protection
149682598,2.3,Habitat & natural process restoration
31200,3.2,Species recovery
31200,2.1,Site/area management
31200,2.3,Habitat & natural process restoration
32866,3.2,Species recovery
32866,3.4.2,Genome resource bank
32866,2.3,Habitat & natural process restoration
150087536,1.1,Site/area protection
150087536,1.2,Resource & habitat protection
150087712,1.1,Site/area protection
150087712,1.2,Resource & habitat protection
150087877,1.1,Site/area protection
150087877,1.2,Resource & habitat protection
150088659,1.2,Resource & habitat protection
150088659,1.1,Site/area protection
152958245,1.2,Resource & habitat protection
152958245,4.3,Awareness & communications
152958245,1.1,Site/area protection
153115088,1.2,Resource & habitat protection
153115088,4.3,Awareness & communications
153115088,1.1,Site/area protection
153116010,1.2,Resource & habitat protection
153116010,4.3,Awareness & communications
153116010,1.1,Site/area protection
153116061,1.2,Resource & habitat protection
153116061,1.1,Site/area protection
153116061,4.3,Awareness & communications
209668480,1.1,Site/area protection
209668480,1.2,Resource & habitat protection
157146680,1.2,Resource & habitat protection
157146680,4.3,Awareness & communications
157146680,1.1,Site/area protection
157150683,1.1,Site/area protection
157150683,4.3,Awareness & communications
157150683,1.2,Resource & habitat protection
158847184,1.1,Site/area protection
158847184,4.3,Awareness & communications
158847184,1.2,Resource & habitat protection
159074166,1.2,Resource & habitat protection
159074166,4.3,Awareness & communications
159074166,1.1,Site/area protection
159079094,1.1,Site/area protection
159079094,4.3,Awareness & communications
159079094,1.2,Resource & habitat protection
159079733,1.2,Resource & habitat protection
159079733,4.3,Awareness & communications
159079733,1.1,Site/area protection
159080036,1.1,Site/area protection
159080036,4.3,Awareness & communications
159080036,1.2,Resource & habitat protection
159080601,1.2,Resource & habitat protection
159080601,4.3,Awareness & communications
159080601,1.1,Site/area protection
159103471,1.1,Site/area protection
159103471,4.3,Awareness & communications
159103471,1.2,Resource & habitat protection
159104035,1.2,Resource & habitat protection
159104035,4.2,Training
159104035,1.1,Site/area protection
159121187,1.2,Resource & habitat protection
159121187,4.3,Awareness & communications
159121187,1.1,Site/area protection
54478,1.2,Resource & habitat protection
54478,2.1,Site/area management
54584,2.1,Site/area management
54584,4.3,Awareness & communications
54584,1.2,Resource & habitat protection
54593,1.1,Site/area protection
54593,1.2,Resource & habitat protection
54684,1.1,Site/area protection
54684,1.2,Resource & habitat protection
58203,1.1,Site/area protection
58203,1.2,Resource & habitat protection
58273,1.1,Site/area protection
58273,1.2,Resource & habitat protection
58273,2.1,Site/area management
197660098,1.1,Site/area protection
197660098,1.2,Resource & habitat protection
58312,1.1,Site/area protection
58312,1.2,Resource & habitat protection
58314,1.2,Resource & habitat protection
58377,1.1,Site/area protection
58377,1.2,Resource & habitat protection
58377,5.2,Policies and regulations
58379,1.1,Site/area protection
58379,1.2,Resource & habitat protection
58383,1.1,Site/area protection
58383,1.2,Resource & habitat protection
58385,1.2,Resource & habitat protection
58387,1.2,Resource & habitat protection
58387,5.2,Policies and regulations
58395,1.2,Resource & habitat protection
58395,1.1,Site/area protection
58399,4.3,Awareness & communications
58399,2.1,Site/area management
58401,2.1,Site/area management
58402,1.2,Resource & habitat protection
58403,1.1,Site/area protection
58403,1.2,Resource & habitat protection
58404,1.1,Site/area protection
58404,1.2,Resource & habitat protection
58571,1.2,Resource & habitat protection
58571,2.1,Site/area management
58571,2.2,Invasive/problematic species control
58788,1.1,Site/area protection
58788,1.2,Resource & habitat protection
58829,1.2,Resource & habitat protection
58829,1.1,Site/area protection
58847,1.1,Site/area protection
58847,1.2,Resource & habitat protection
58849,1.1,Site/area protection
58849,1.2,Resource & habitat protection
58876,1.1,Site/area protection
58876,1.2,Resource & habitat protection
58876,2.1,Site/area management
58903,2.1,Site/area management
58903,4.3,Awareness & communications
58926,2.1,Site/area management
58926,1.1,Site/area protection
58926,1.2,Resource & habitat protection
58926,2.2,Invasive/problematic species control
58926,4.3,Awareness & communications
58927,1.1,Site/area protection
58927,1.2,Resource & habitat protection
58927,2.1,Site/area management
58983,1.1,Site/area protection
58983,1.2,Resource & habitat protection
59027,1.1,Site/area protection
59027,4.3,Awareness & communications
59027,5.2,Policies and regulations
61850,1.1,Site/area protection
61850,1.2,Resource & habitat protection
61885,1.2,Resource & habitat protection
61885,1.1,Site/area protection
135879,1.1,Site/area protection
135879,1.2,Resource & habitat protection
136045,1.1,Site/area protection
136045,1.2,Resource & habitat protection
136049,2.1,Site/area management
136049,1.1,Site/area protection
158638,4.3,Awareness & communications
158638,1.2,Resource & habitat protection
173018,1.2,Resource & habitat protection
173018,1.1,Site/area protection
186160,2.1,Site/area management
186160,1.1,Site/area protection
186161,1.1,Site/area protection
186161,1.2,Resource & habitat protection
186163,1.2,Resource & habitat protection
186163,1.1,Site/area protection
186165,1.2,Resource & habitat protection
186165,1.1,Site/area protection
186166,2.1,Site/area management
187830,1.1,Site/area protection
187830,1.2,Resource & habitat protection
189700,1.1,Site/area protection
189700,1.2,Resource & habitat protection
78521208,1.1,Site/area protection
78521208,4.3,Awareness & communications
78521208,1.2,Resource & habitat protection
79080668,1.1,Site/area protection
79080668,1.2,Resource & habitat protection
79095367,2.3,Habitat & natural process restoration
