assessmentId,scientificName,internalTaxonId,doi
1419729,Syzygium rama-varmae,175221,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T175221A1419729.en
1810810,Raorchestes jayarami,186162,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186162A1810810.en
48886614,Minervarya sengupti,48886608,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48886608A48886614.en
48899453,Nyctibatrachus deveni,48874314,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874314A48899453.en
54035787,Nyctibatrachus acanthodermis,48874474,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874474A54035787.en
54149121,Nyctibatrachus gavi,48874286,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874286A54149121.en
54149239,Nyctibatrachus grandis,48874266,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874266A54149239.en
54149411,Nyctibatrachus indraneili,48874250,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874250A54149411.en
54149566,Nyctibatrachus jog,48874225,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874225A54149566.en
54149735,Nyctibatrachus pillaii,48874189,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874189A54149735.en
54149741,Nyctibatrachus periyar,48874217,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874217A54149741.en
54459738,Nyctibatrachus vrijeuni,48873111,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48873111A54459738.en
56110474,Megophrys megacephala,48872923,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48872923A56110474.en
61780186,Lagerstroemia hypoleuca,61780183,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T61780183A61780186.en
61985350,Podophyllum hexandrum,61985348,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T61985348A61985350.en
61987625,Canarium euphyllum,61987623,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T61987623A61987625.en
61987933,Mesua ferrea,61987931,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T61987931A61987933.en
