internalTaxonId,habitatCode,habitatName,majorImportance,season,suitability
175221,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
175221,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
186162,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
186162,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48886608,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
48886608,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48886608,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874314,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874314,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874314,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48874474,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48874474,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874474,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874474,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
48874474,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
48874286,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874286,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874286,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
48874286,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48874266,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874266,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48874266,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874250,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874250,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874225,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874225,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48874225,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
48874225,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
48874189,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874189,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874217,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48874217,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48874217,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48874217,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
48873111,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48873111,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48873111,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48873111,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
48873111,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
48872923,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
48872923,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
177756483,1.4,Forest - Temperate,,,Suitable
177756483,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
208598052,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
208598052,1.4,Forest - Temperate,Yes,Resident,Suitable
73786986,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73787038,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73787369,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
73788607,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
