assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
1419729,175221,Syzygium rama-varmae,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
1419729,175221,Syzygium rama-varmae,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
1810810,186162,Raorchestes jayarami,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
1810810,186162,Raorchestes jayarami,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48886614,48886608,Minervarya sengupti,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
48886614,48886608,Minervarya sengupti,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48886614,48886608,Minervarya sengupti,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48899453,48874314,Nyctibatrachus deveni,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
48899453,48874314,Nyctibatrachus deveni,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
48899453,48874314,Nyctibatrachus deveni,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
54035787,48874474,Nyctibatrachus acanthodermis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
54035787,48874474,Nyctibatrachus acanthodermis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
54035787,48874474,Nyctibatrachus acanthodermis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
54035787,48874474,Nyctibatrachus acanthodermis,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
54035787,48874474,Nyctibatrachus acanthodermis,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
54149121,48874286,Nyctibatrachus gavi,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
