assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,1895,77.18391,8.671981
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,1895,77.18395,8.67198
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,1979,77.38126,8.492711
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2001,77.38124,8.492712
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2001,77.38127,8.492713
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2001,77.38128,8.492712
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2011,76.9591,10.09371
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2011,76.95915,10.09361
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2011,76.95918,10.09369
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2012,76.99326,10.05254
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2012,76.99863,10.12106
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2012,77.00591,10.12811
1419729,175221,Syzygium rama-varmae,1,1,1,Devika M.A. and Amitha Bachan K.H.,2022,GTA,Extant (resident),,,,,,,PreservedSpecimen,2012,77.15826,9.787464
