assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1419729,175221,Syzygium rama-varmae,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,rama-varmae,,,,(Bourd.) Chithra,Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i)",3.1,Decreasing,Global
1810810,186162,Raorchestes jayarami,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Raorchestes,jayarami,,,,"(Biju &amp; Bossuyt, 2009)",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
48886614,48886608,Minervarya sengupti,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Minervarya,sengupti,,,,"(Purkayastha &amp; Matsui, 2012)",Endangered,B1ab(iii),3.1,Decreasing,Global
48899453,48874314,Nyctibatrachus deveni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,deveni,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Endangered,B1ab(iii),3.1,Decreasing,Global
54035787,48874474,Nyctibatrachus acanthodermis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,acanthodermis,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Endangered,B1ab(iii),3.1,Decreasing,Global
54149121,48874286,Nyctibatrachus gavi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,gavi,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Vulnerable,B1ab(iii),3.1,Decreasing,Global
54149239,48874266,Nyctibatrachus grandis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,grandis,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Endangered,B1ab(iii),3.1,Decreasing,Global
54149411,48874250,Nyctibatrachus indraneili,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,indraneili,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
54149566,48874225,Nyctibatrachus jog,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,jog,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Vulnerable,B1ab(iii),3.1,Decreasing,Global
54149735,48874189,Nyctibatrachus pillaii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,pillaii,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Endangered,B1ab(iii),3.1,Decreasing,Global
54149741,48874217,Nyctibatrachus periyar,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,periyar,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Endangered,B1ab(iii),3.1,Decreasing,Global
54459738,48873111,Nyctibatrachus vrijeuni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,vrijeuni,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",Vulnerable,B1ab(iii),3.1,Decreasing,Global
56110474,48872923,Megophrys megacephala,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,megacephala,,,,"Mahony, Sengupta, Kamei &amp; Biju, 2011",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
61780186,61780183,Lagerstroemia hypoleuca,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,LYTHRACEAE,Lagerstroemia,hypoleuca,,,,Kurz ,Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
61985350,61985348,Podophyllum hexandrum,PLANTAE,TRACHEOPHYTA,RANUNCULALES,MAGNOLIOPSIDA,BERBERIDACEAE,Podophyllum,hexandrum,,,,Royle,Endangered,A2bd+3cd+4cd,3.1,Decreasing,Global
61987625,61987623,Canarium euphyllum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,BURSERACEAE,Canarium,euphyllum,,,,Kurz,Vulnerable,B2ab(iii),3.1,Unknown,Global
