internalTaxonId,scientificName,redlistCategory,redlistCriteria,kingdomName,phylumName,className,orderName,familyName,genusName,speciesEpithet,doi,populationTrend,hasImage
175221,Syzygium rama-varmae,Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i)",PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,rama-varmae,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T175221A1419729.en,Decreasing,False
186162,Raorchestes jayarami,Endangered,"B1ab(iii,v)",ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,jayarami,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186162A1810810.en,Decreasing,False
48886608,Minervarya sengupti,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Minervarya,sengupti,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48886608A48886614.en,Decreasing,True
48874314,Nyctibatrachus deveni,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,deveni,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874314A48899453.en,Decreasing,True
48874474,Nyctibatrachus acanthodermis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,acanthodermis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874474A54035787.en,Decreasing,False
48874286,Nyctibatrachus gavi,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,gavi,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874286A54149121.en,Decreasing,True
48874266,Nyctibatrachus grandis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,grandis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874266A54149239.en,Decreasing,True
48874250,Nyctibatrachus indraneili,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,indraneili,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874250A54149411.en,Decreasing,True
48874225,Nyctibatrachus jog,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,jog,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874225A54149566.en,Decreasing,True
48874189,Nyctibatrachus pillaii,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,pillaii,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874189A54149735.en,Decreasing,True
48874217,Nyctibatrachus periyar,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,periyar,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48874217A54149741.en,Decreasing,False
48873111,Nyctibatrachus vrijeuni,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,vrijeuni,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48873111A54459738.en,Decreasing,True
48872923,Megophrys megacephala,Endangered,"B1ab(iii,v)",ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,megacephala,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T48872923A56110474.en,Decreasing,True
61780183,Lagerstroemia hypoleuca,Endangered,B1ab(iii)+2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,LYTHRACEAE,Lagerstroemia,hypoleuca,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T61780183A61780186.en,Unknown,True
61985348,Podophyllum hexandrum,Endangered,A2bd+3cd+4cd,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Podophyllum,hexandrum,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T61985348A61985350.en,Decreasing,True
61987623,Canarium euphyllum,Vulnerable,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,euphyllum,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T61987623A61987625.en,Unknown,True
61987931,Mesua ferrea,Vulnerable,A2cd,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CALOPHYLLACEAE,Mesua,ferrea,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T61987931A61987933.en,Decreasing,True
177756483,Phoebe bootanica,Endangered,B2ab(iii),PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Phoebe,bootanica,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T177756483A62020480.en,Unknown,True
62038695,Citrus indica,Vulnerable,D1,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Citrus,indica,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T62038695A62038698.en,Decreasing,False
208598052,Amolops monticola,Endangered,"B1ab(iii,v)",ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Amolops,monticola,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T208598052A63853189.en,Decreasing,True
73786986,Raorchestes aureus,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,aureus,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73786986A73787000.en,Decreasing,True
73787038,Raorchestes blandus,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,blandus,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73787038A73787322.en,Decreasing,True
73787369,Raorchestes echinatus,Vulnerable,D2,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,echinatus,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73787369A73787384.en,Unknown,True
73788607,Hylarana flavescens,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,flavescens,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73788607A73788625.en,Decreasing,False
73788764,Hylarana urbis,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,urbis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73788764A73788770.en,Decreasing,False
73788782,Hylarana caesari,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,caesari,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73788782A73788787.en,Decreasing,True
73788833,Hylarana magna,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,magna,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73788833A73788842.en,Decreasing,True
73959431,Micrixalus kurichiyari,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,kurichiyari,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73959431A73959496.en,Decreasing,True
73960020,Micrixalus niluvasei,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,niluvasei,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73960020A73960024.en,Decreasing,False
73960040,Micrixalus sairandhri,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,sairandhri,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73960040A73960044.en,Decreasing,True
73961281,Micrixalus spelunca,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,spelunca,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73961281A73962058.en,Decreasing,True
73963691,Micrixalus uttaraghati,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,uttaraghati,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73963691A73963701.en,Decreasing,False
73964539,Micrixalus adonis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,adonis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73964539A73964543.en,Decreasing,True
73965400,Micrixalus mallani,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,mallani,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73965400A73965406.en,Decreasing,True
73965533,Micrixalus nudis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,nudis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73965533A73965523.en,Decreasing,False
73967847,Micrixalus sali,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,sali,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73967847A73967869.en,Decreasing,False
