internalTaxonId,description,conservationActionsDescription,habitatDescription,useTradeDescription,threatsDescription,populationDescription
175221,"<em>Syzygium rama-varmae</em> is a small evergreen tree up to 15 m high distributed in seven locations in the tropical submontane evergreen forest of Munnar, Agasthyamalai and Kanyakumari hills of southern Western Ghats. The species occupies in a narrow altitudinal range of 1,100–1,500 m elevation in its habitat associated with characteristic tree associations of the representing vegetation, usually along submontane streams and swamps. More than 50% of its population had been subjected to heavy degradation due to tea, <em>Eucalyptus </em>and wattle plantations and dams. It is inferred that there has been a total population reduction of at least 40% over three generations. Habitat fragmentation, forest fire and consumption for firewood are the major threats. The entire population is only 400 individuals, with the largest subpopulation with only 115 mature individuals. The area of occupancy (AOO) is 32 km<sup>2</sup> and the extent of occurrence (EOO) is 2,757 km<sup>2</sup>. Site specific species monitoring and recovery plans along with local awareness is recommended. Hence, the species assessed here as Endangered.","The species occurs in two protected areas, Agasthyamalai and Kanyakumari Wildlife Sanctuary, where it is represented with its three out of the seven subpopulations. The other four subpopulations are within the hills of Munnar region and need more conservation actions.","<p><em>Syzygium rama-varmae </em>is a small evergreen tree up to 15 m high seen on the montane evergreen vegetation (1,100–1,500 m) along seven hill tops in the Munnar, Agasthyamalai, Kanyakumari ecoregions of the Southern Western Ghats. The tree is located along streams or swamps in the hill tops associated with <em>Antidesma montanum, Cullenia exarillata, Palaquium ellipticum, Litsea bourdillonii, Mesua ferrea, Syzygium gardneri </em>and&#160;<em>Garcinia pushpangadaniana </em>(Irwin 2006, Shareef <em>et al.</em> 2013).&#160;</p>","<p>It is a small tree with a maximum recorded girth of 172 cm and an average of less than 100 cm. There is no use and trade information, however it could be used for firewood by the local community.&#160;</p>","<em>Syzygium rama-varmae </em>is distributed along submontane evergreen hilltops in the Munnar, Agasthyamalai and Kanyakumari ecoregions. Forest of these hilltops had been subjected to large scale conversion for tea plantations during the colonial regime and softwood plantations later and are still continuing. More than 50% of the population is in the Idukki district, which is subjected to the continuing threat of fragmentation and degradation due to forest fire and firewood extraction.","<p><em>Syzygium rama-varmae </em>has nearly 400 mature individuals in seven subpopulations within the Agasthyamalai hills of Thiruvanathapuram district and Kallar - Munnar hills of Idukki district in Kerala and&#160;Muthukuzhivayal hills of Kanyakumari district Tamil Nadu. Four subpopulations in the hills of Munnar are highly fragmented and are outside protected areas, hence there is decrease in population. The largest subpopulation has 115 mature individuals.</p>"
186162,"Listed as Endangered because its extent of occurrence (EOO) is 1,337 km<sup>2</sup>, its population is considered to be severely fragmented, and there is a continuing decline in the extent and quality of its forest habitat as well as in number of mature individuals in the Western Ghats.","<p><em style=""""><strong>Conservation Actions In-Place<br/></strong></em>This species occurs in Anamalai Tiger Reserve and Mathikettan Shola National Park, however most of its population is outside protected areas, in private and forest lands owned by the government (S.D. Biju pers. comm. December 2010).<br/><br/><em><strong>Conservation Needed<br/></strong></em>Improved habitat protection is required.<br/><br/><em><strong>Research Needed<br/></strong></em>Further research is required on its distribution, its dispersal between habitat fragments ,and the effects of climate change and&#160;<em>Bd</em>. Population monitoring is also recommended (India Red List Assessment Workshop October 2020).</p>","This species is found in forest fragments or sholas between villages, towns and settlements (S.D. Biju pers. comm. January 2011). It has been recorded in tea plantations in Valparai and Munnar (Rajkumar K.P. pers. comm. October 2020 ). Individuals have been found in late evenings after heavy rain, from forest undergrowth about 2 m above the ground (Biju and Bossuyt 2009). Like other congeners, this species breeds by direct development.","This species is used as medicine for coughs, as general medicine for children and as amulets for children who do not speak or walk well (Kanagavel <em>et al</em>. 2020).","Continuing habitat loss due to small and large-scale agriculture (tea, orange, cardamom and other crops) and logging are threats affecting the species' habitat.&#160;In particular, potentially suitable breeding habitat is continuously being destroyed in Kaikatti-Nelliyampathi (S.D. Biju pers. comm. May 2011).&#160;Tourism is also affecting this species in Vagaman (S.D. Biju pers. comm. January 2011).&#160;In the Sabarimalai area, a mass pilgrimage of millions of people occurs on an annual basis which causes pollution to terrestrial habitat, species disturbance, and there is an annual burning of the 1 km<sup>2</sup>&#160;of grassland for use as a seating area by the pilgrims (Rajkumar K.P.&#160;pers. comm. October 2020). The species is used sporadically for medicinal purposes, although this is not considered to be a major threat to the species. Climate change is a potential future threat which may result in the shifting of habitat, and subpopulations that already exist in higher elevations may be lost as they have no habitat to migrate to (Rajkumar K.P.&#160;pers. comm. October 2020).&#160;<p></p><em>Batrachochytrium dendrobatidis&#160;</em>(<em>Bd</em>)&#160;has been found in other species of the genus, so chytridiomycosis may be a potential threat for this species but further research is required (India Red List Assessment Workshop September 2020).","<p>It is now infrequently encountered compared to 2004, when it used to be common in the localities where it was found (S.D. Biju pers. comm. January 2011). It is now considered to be locally abundant (Rajkumar K.P.&#160;pers. comm. October 2020).&#160;It is restricted to remnant forest habitat throughout its range, and there is lack of connectivity between more than half of the known localities due to the unsuitable habitat of the surrounding agricultural matrix. Its population is therefore assumed to be severely fragmented. Its dispersal capacity is believed to be low due to its habitat specialization. Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing.</p>"
48886608,"Listed as Endangered because its extent of occurrence (EOO) is 104 km<sup>2</sup>, it occurs in three threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species does not occur in any protected areas.<br/><br/><strong><em>Conservation Actions Needed</em></strong><br/>The species' forest and wetland habitat requires protection to prevent further degradation. This action should also, in turn, ensure the protection of drinking water sources for local towns.<br/><br/><strong><em>Research Needed</em></strong><br/>Purkayastha and Matsui (2012) recommend further research on taxonomy for this taxon.","This species is dependent on forest streams, and individuals have been found among bushes near seasonally water-filled potholes within a forest (Purkayastha and Matsui 2012).&#160;It is unlikely that the species would be able to tolerate a great degree of habitat disturbance and loss (J. Purkayastha pers. comm. October 2021). It is presumed to breed by larval development, as with its congeners.<strong><br/></strong>",There are no records of this species being utilized.,"The species' high-altitude forest habitat does not contain many wetlands, and many of the forest streams are used as a source of drinking water for humans which requires the creation of blockages (dams) and causes habitat degradation (J. Purkayastha pers. comm. November 2020).","Five specimens of this species are known from its type locality, found during a survey carried out in July 2011 (Purkayastha and Matsui 2012). Additional individuals are known from&#160;Umtyngar and Shillong (J.&#160;Purkayastha pers. comm. November 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
48874314,"Listed as Endangered because its extent of occurrence (EOO) is 910 km<sup>2</sup>, it occurs in five or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Anamalai Tiger Reserve.&#160;<br/><br/><strong><em>Conservation Needed</em></strong><br/>Habitat protection is a key conservation measure recommended for this taxon (Biju <em>et al.</em> 2011).<br/><br/><strong><em>Research Needed</em></strong><br/>Research is required on its distribution, natural history and microhabitat requirements, as well as the effect of <em>Bd</em> on this species.","This species is found on rocks in streams within semi-evergreen and secondary forest (Biju <em>et al. </em>2011). Individuals can occasionally be found in well-shaded coffee plantations (V. Sankaraman pers. comm. October 2020). This species will not tolerate the opening of its habitat, and always requires canopy cover (India Red List Assessment Workshop October 2020). This species breeds by larval development.",There are no records of this species being utilized.,"There is an ongoing loss of natural habitats due to anthropogenic disturbance over much of the Western Ghats. This is caused by small-scale plantations (tea and cardamom), and unsustainable harvesting of tree species. The use of pesticides in plantations also presents a problem, along with the complete opening up of the forest canopy and habitat fragmentation. Stream diversion for water irrigation systems will also be a problem for this species.<br/><br/><em>Bd</em> has been confirmed in other species in the genus, with 100% of species tested in the family by Mutnale <em>et al</em>. (2018) testing positive, however further studies are required to understand the effect on this particular species (India Red List Assessment Workshop October 2020).","This species is considered to be uncommon, although it is thought to be the third most common species within the landscape where it occurs (India Red List Assessment Workshop October 2020). It is infrequently encountered although when found it will be found in good numbers, up to 20 individuals at a time (V. Sankaraman pers. comm. October 2020).&#160;A decreasing population trend is inferred from the ongoing decline in the quality and extent of this species' habitat."
48874474,"Listed as Endangered because its extent of occurrence (EOO) is 924 km<sup>2</sup>, it occurs in five or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Anamalai Tiger Reserve and Parambikulam Tiger Reserve, with at least 50% of the population occurring in these areas (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required.<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is needed on its distribution and the effect of&#160;<em>Bd</em>. Population monitoring is also recommended (India Red List Assessment Workshop September 2020).","This species was found under stones in flowing streams within secondary forest patches (Biju <em>et al. </em>2011) and in rock pools of fast-flowing streams (Harikrishnan <em>et al. </em>2018). It is also found in coffee plantations, and possibly in tea plantations, so it will tolerate a degree of habitat disturbance but not the complete opening up of the habitat (V. Sankaraman pers. comm. September&#160;2020). It breeds by larval development.",There are no records of this species being utilized.,"The use of pesticides in plantations is a problem, along with the complete opening up of the forest canopy, and habitat fragmentation caused by agriculture conversion including tea plantations (India Red List Assessment Workshop September 2020). Stream water diversion for water irrigation systems is reducing water flow in streams throughout its range and is also considered a threat (India Red List Assessment Workshop September 2020).<strong><br/></strong><strong><br/></strong><span id=""docs-internal-guid-edf6d68c-7fff-9eab-d464-8a0a49ffa6cb""><em>Batrachochytrium dendrobatidis&#160;</em>(<em>Bd</em>) has been confirmed in the genus (<span id=""docs-internal-guid-f552d78d-7fff-2963-4e64-094bdd7da5fe"">Mutnale&#160;<em>et al.&#160;</em>2018), with morbidity observed but no mortalities to date, but further studies are required to investigate the full effects on this species (India Red List Assessment Workshop September 2020).</span>","It is a fairly common species (V. Sankaraman and S.R. Ganesh pers. comm. September 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
48874286,"Listed as Vulnerable because its extent of occurrence (EOO) is 5,995 km<sup>2</sup>, it occurs in 10 or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Periyar Tiger Reserve and Meghamalai Wildlife Sanctuary, and more than 50% of the population occurs within these areas (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required, as well as the education of tourists on their disturbance behaviours which would also be beneficial for this species (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is required on its distribution, and the effects of <em>Bd</em> and climate change. Population monitoring is also recommended.","This species lives in rivulets and streams within forests, and close to plantations (Biju <em>et al. </em>2011). It requires pristine streams, and is unlikely to tolerate severe habitat loss and disturbance (India Red List Assessment Workshop September 2020). It breeds in streams by larval development.",There are no records of this species being utilized.,"In the Sabarimalai area, within 10 km<sup>2</sup> of the type locality, a mass pilgrimage of millions of people occurs on an annual basis which causes pollution to the streams and terrestrial habitat, species disturbance (including to eggs) and potentially causes tadpole mortalities (India Red List Assessment Workshop September 2020). Pesticide use in the tea and cardamom plantations within the species range is considered a major threat (S.R. Chandramouli pers. comm. September 2020). If agricultural conversion intensifies within this species' range (for plantations) then that may also be detrimental to this species, despite its presence close to these plantation areas (India Red List Assessment Workshop September 2020). Climate change is a potential future threat, and may cause habitat shifting which may result in the loss of subpopulations in higher elevations with no available habitat for it to migrate to (India Red List Assessment Workshop September 2020).<br/><br/><em>Batrachochytrium dendrobatidis</em> (<em>Bd</em>) has been confirmed in the genus (Mutnale <em>et al. </em>2018), with morbidity observed but no mortalities to date, but further studies are required to investigate the full effects on this species (India Red List Assessment Workshop September 2020).","It is considered to be uncommon, with two or three individuals encountered at a time (India Red List Assessment Workshop September 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
48874266,"Listed as Endangered because its extent of occurrence (EOO) is 3,582 km<sup>2</sup>, its population is severely fragmented, and there is continuing decline in the extent and quality of its habitat in the Western Ghats of India.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Malabar Wildlife Sanctuary, Wayanad Wildlife Sanctuary, Bramagiri Wildlife Sanctuary&#160;and Aralam Wildlife Sanctuary, with an estimated 50% of the known population occurring in these areas (India Red List Assessment Workshop October 2020).&#160;<br/><br/><strong><em>Conservation Needed</em></strong><br/>Habitat protection is a key conservation measure recommended for this taxon (Biju<em> et al.</em> 2011).<br/><br/><strong><em>Research Needed</em></strong><br/>Further research on its distribution, and the effects of <em>Bd</em> and climate change are required. Population monitoring is also recommended (India Red List Assessment Workshop October 2020). There is some confusion with the field identification between this species,&#160;<em>N. kumbara</em>, and&#160;<em>N. kamatakaensis</em>&#160;and further genetics and acoustic research would be useful to determine each of their true distributions (India Red List Assessment Workshop October 2020).","This nocturnal frog inhabits flowing streams within secondary forest patches. During the day, individuals remain concealed underneath large stones (Biju <em>et al.</em> 2011). This species has also been found in evergreen forest patches (S. Das pers. comm. October 2020). This species is unlikely to tolerate habitat disturbance and loss, as it requires canopy cover (S. Das pers. comm. October 2020). Both males and females attend egg clutches that are laid on wet rocks next to flowing water by positioning themselves on top (Biju <em>et al.</em> 2011).",There are no records of this species being utilized.,"Within cardamom plantations the use of pesticides poses a minor threat to this species. Outside of protected areas, habitat conversion for human settlements and road construction pose major threats to this species, as does the possibility of road mortalities. This species may be particularly susceptible to road mortalities due to its large size (S. Das pers. comm. October 2020).&#160;<br/><br/>Climate change poses a potential future threat which may result in the shifting and drying of habitat. This shift could cause a loss of subpopulations at higher elevations as they will have no habitat to migrate to (India Red List Assessment Workshop October 2020). Additionally,&#160;<span id=""docs-internal-guid-f320c394-7fff-fe52-eba0-ddaf04a7d837""><em>Batrachochytrium dendrobatidis </em>(<em>Bd</em>) has been confirmed in the genus (Mutnale <em>et al.</em> 2018), with morbidity observed but no mortalities to date, but further studies required to investigate full effects on this species (India Red List Assessment Workshop September 2020).","This species is considered to be uncommon, with only 3-4 individuals typically found at a time (S. Das pers. comm. October 2020). Four specimens of this taxon were found during two different surveys carried out in 2007 (Biju <em>et al.</em> 2011).&#160;A decreasing population trend is inferred from the ongoing decline in the quality and extent of this species' habitat.&#160;It is restricted to remnant forest habitat throughout its range, and there is lack of connectivity between more than half of the known localities due to the unsuitable habitat of the surrounding agricultural matrix. Its population is therefore assumed to be severely fragmented."
48874250,"Listed as Critically Endangered because it is known only from the type locality and the vicinity which provides an extent of occurrence (EOO) of 10 km<sup>2 </sup>(with its maximum range unlikely to exceed 100 km<sup>2</sup>),<sup>&#160;</sup>it is considered to occur in one threat-defined location, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>The type locality is not within a protected area, but it is within a reserve forest.&#160;<br/><br/><strong><em>Conservation Needed</em></strong><br/>Habitat protection is a key conservation measure recommended for this taxon (Biju&#160;<em>et al.</em>&#160;2011).<br/><br/><strong><em>Research Needed<br/></em></strong>Further research on its distribution, population status, and the effects of <em>Bd</em> are required.",This species lives under stones in a flowing stream within a disturbed secondary forest patch (Biju <em>et al.</em> 2011). It has not been recorded in the tea plantations in the surrounding regions. It is a larval developer.,There are no records of this species being utilized.,"This species is restricted to a forest reserve patch that is surrounded by large-scale tea plantations. There is potential for pollution from the plantations and the patch has been logged before and is subject to some disturbances.<br/><br/><em>Batrachochytrium dendrobatidis</em>&#160;(<em>Bd</em>) has been confirmed in the genus (<span id=""docs-internal-guid-f552d78d-7fff-2963-4e64-094bdd7da5fe"">Mutnale&#160;<em>et al.&#160;</em>2018), with morbidity observed but no mortalities to date, but further studies required to investigate full effects on this species (India Red List Assessment Workshop March 2021).","Three specimens of this taxon were found during a survey carried out in 2004 (Biju <em>et al.</em> 2011). Since then it has been regularly observed at the type locality, but surveys carried out in surrounding areas have not produced any records to date (S.D. Biju pers. comm. March 2021). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
48874225,"Listed as Vulnerable because its extent of occurrence (EOO) is 12,654 km<sup>2</sup>, it occurs in 10 or fewer threat-defined locations and there is continuing decline in the extent and quality of its habitat in the Western Ghats of India.","<strong><em>Conservation Actions In-Place<br/></em></strong>This species occurs in Aghanashini Lion Tailed Macaque Conservation Reserve,&#160;Tillari Conservation Reserve and Mookambika Wildlife Sanctuary.<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required, as well as the education of tourists on their disturbance behaviours which would also be beneficial for this species (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Research Needed</em></strong><br/>Research on the ecology of this taxon is recommended (Shamanna <em>et al.</em> 2016), as is population monitoring (India Red List Assessment Workshop September 2020).","This species occurs in torrential hill streams and waterfalls in riparian habitat of tropical moist evergreen and semi-evergreen forest. It was collected from vegetation near a flowing forest stream at the type locality (Biju <em>et al.</em> 2011). It has also been recorded from intermittent puddles with a sandy bottom, and rocks and boulders in slow streams flowing through <em>Myristica fatua</em> swamps with&#160;<em>Gymnacranthera canarica </em>vegetation (Gururaja<em> et al.</em> 2014). It has also been found in roadside streams, and is thought to tolerate a degree of habitat disturbance but not severe habitat loss which is inferred from its congeners (Gururaja K.V. and P. Hebbar pers. comm. September 2020). Both males and females attend egg clutches laid on leaves, branches, and tree bark by positioning themselves on top of them (Biju <em>et al.</em> 2011, Gururaja <em>et al.</em> 2014).",There are no records of this species being utilized.,"There is an ongoing loss of natural habitats due to anthropogenic disturbance over much of the Western Ghats. This is caused by the development of roads and road widening (Gururaja&#160;K.V. pers. comm. September 2020), small-scale plantations, illegal encroachment and unsustainable harvesting of tree species (India Red List Assessment Workshop September 2020).&#160;Tourism is also causing disturbance to the species and is likely to interfere with its breeding activity (P. Hebbar pers. comm. September 2020), and stream water diversion for drinking and agriculture purposes is reducing water flow in the upper parts of streams throughout its range (K.G. Girish pers. comm. September 2020).&#160;<br/><br/>This species has swabbed for&#160;<em>Batrachochytrium dendrobatidis&#160;</em>(<em>Bd</em>) in Tilari, and no negative effects have yet been observed in the subpopulation there (G. Sreedharan pers. comm. September 2020). Observation of malformations (missing digits and limbs) have been made within this species, although the cause is currently unknown and needs to be investigated (Gururaja K.V.&#160;pers. comm. September 2020).","It is considered to be locally common, and it is more abundant during breeding season through late June to September (P. Hebbar and Gururaja K.V.&#160;pers. comm. September 2020). It is not always easy to find due to the inaccessibility of the habitat in which it it is found (P. Hebbar pers. comm. September 2020). Population studies are ongoing and have found adequate gene flow occurring throughout the global population (P. Hebbar pers. comm. September 2020).&#160;<span id=""docs-internal-guid-5255df6d-7fff-ff54-afae-1f456a5af150"">Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
48874189,"Listed as Endangered because its extent of occurrence (EOO) is 472 km<sup>2</sup>, its population is considered to be severely fragmented, and there is continuing decline in the extent and quality of its habitat in the Western Ghats of India.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Kalakad Mundanthurai Tiger Reserve, Agasthyamala Biosphere Reserve, Neyyar Wildlife Sanctuary and Peppara Wildlife Sanctuary (India Red List Assessment Workshop September 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required, along with the education of tourists to reduce littering behaviours.<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is required on its distribution and the effects of <em>Bd</em> and climate change. Population monitoring is also needed.","This nocturnal frog inhabits forested marsh areas and montane rivulets (Biju <em>et al.</em> 2011). It requires pristine streams, and is unlikely to tolerate severe habitat disturbance (India Red List Assessment Workshop September 2020). It breeds in streams by larval development.",There are no records of this species being utilized.,"In Kerala, in the Athirumala area within Agasthyamala Biosphere Reserve, a mass pilgrimage of millions of people occurs on an annual basis involving hundreds of people per day during the duration of a month (Jan-Mar), which causes littering and pollution of streams in that locality (S. Das pers. comm. September 2020). Road mortalities also occur in the area of Ponmudi (India Red List Assessment Workshop. September 2020). Tourism is also a threat causing species disturbance (India Red List Assessment Workshop September 2020), as well as water pollution due to the frequent use of streams for washing in a waterfall area in Coutrallam, Tamil Nadu (S.R. Ganesh pers. comm. September 2020). Climate change is a potential future threat, and may cause habitat shifting, which may result in the loss of subpopulations in higher elevations with no available habitat for it to migrate to (India Red List Assessment Workshop September 2020).<em><br/></em><em><br/></em><em>Batrachochytrium dendrobatidis </em>(<em>Bd</em>) has been confirmed in the genus (Mutnale <em>et al.</em> 2018), with morbidity observed but no mortalities to date, but further studies are required to investigate full effects on this species (India Red List Assessment Workshop September 2020).","It is considered to be uncommon, with a few individuals encountered at a time (India Red List Assessment Workshop September 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing.&#160;It is restricted to remnant forest habitat throughout its range within the unsuitable habitat of the surrounding agricultural matrix. Its population is therefore assumed to be severely fragmented.<span id=""docs-internal-guid-3362c37f-7fff-84ea-5268-6f0da226cd74"">"
