internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
175221,Syzygium rama-varmae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,rama-varmae,,,,,(Bourd.) Chithra,"Bourdillon named the species as&#160;<span style=""font-style: italic;"">Eugenia rama-varmae&#160;</span>during 1904&#160;based on his collection from<span style=""font-style: italic;"">&#160;</span>Chemungi hills (1895)<em>&#160;</em>and later Gamble (1919)&#160;renamed as&#160;<em>Jambosa&#160;</em><span style=""font-style: italic;"">rama-varma. </span>Later Chithra (1983) placed it as&#160;<span style=""font-style: italic;"">Syzygium&#160;</span><span style=""font-style: italic;"">rama-varmae </span>(Bourd.) Chithra<span style=""font-style: italic;"">. </span>The collections of Henry 1979 and Shareef (2001- 2002) extended&#160; its distribution to Kanyakumari Wildlife Sanctuary and Munnar hills of Idukki district respectively. The species is locally termed as Manikiluki since the dried fruits sounds like a bead inside a box (rattle)."
186162,Raorchestes jayarami,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,jayarami,,,,,"(Biju &amp; Bossuyt, 2009)",
48886608,Minervarya sengupti,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Minervarya,sengupti,,,,,"(Purkayastha &amp; Matsui, 2012)",
48874314,Nyctibatrachus deveni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,deveni,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
48874474,Nyctibatrachus acanthodermis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,acanthodermis,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
48874286,Nyctibatrachus gavi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,gavi,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
48874266,Nyctibatrachus grandis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,grandis,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
48874250,Nyctibatrachus indraneili,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,indraneili,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
48874225,Nyctibatrachus jog,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,jog,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
48874189,Nyctibatrachus pillaii,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,pillaii,,,,,"Biju, Van Bocxlaer, Mahony, Dinesh, Radhakrishnan, Zachariah, Giri &amp; Bossuyt, 2011",
