internalTaxonId,threatCode,threatName,stressCode,stressName,severity
175221,1.2,Commercial & industrial areas,,,"Slow, Significant Declines"
175221,1.3,Tourism & recreation areas,,,"Slow, Significant Declines"
175221,2.2.2,Agro-industry plantations,,,"Slow, Significant Declines"
175221,7.1.1,Increase in fire frequency/intensity,,,"Slow, Significant Declines"
186162,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186162,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186162,1.3,Tourism & recreation areas,1.2,Ecosystem degradation,
186162,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
186162,8.1.2,Named species,2.1,Species mortality,Unknown
186162,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,
186162,5.1.1,Intentional use (species is the target),2.1,Species mortality,Negligible declines
186162,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
48886608,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,
48886608,7.2.9,Small dams,1.2,Ecosystem degradation,
48874314,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
48874314,8.1.2,Named species,2.1,Species mortality,Unknown
48874314,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874314,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874314,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874474,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
48874474,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
48874474,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874474,8.1.2,Named species,2.1,Species mortality,Unknown
48874286,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
48874286,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874286,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
48874286,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
48874286,8.1.2,Named species,2.1,Species mortality,Unknown
48874266,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
