assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
1419729,175221,Syzygium rama-varmae,1.2,Commercial & industrial areas,"","",,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1419729,175221,Syzygium rama-varmae,1.3,Tourism & recreation areas,"","",,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1419729,175221,Syzygium rama-varmae,2.2.2,Agro-industry plantations,"","",,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1419729,175221,Syzygium rama-varmae,7.1.1,Increase in fire frequency/intensity,"","",,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1810810,186162,Raorchestes jayarami,2.2.2,Agro-industry plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),,,Ongoing,
1810810,186162,Raorchestes jayarami,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),,,Ongoing,
1810810,186162,Raorchestes jayarami,1.3,Tourism & recreation areas,1.2,Ecosystem degradation,,,,Unknown,,,Ongoing,
1810810,186162,Raorchestes jayarami,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
1810810,186162,Raorchestes jayarami,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
1810810,186162,Raorchestes jayarami,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,,,,,,,Ongoing,
1810810,186162,Raorchestes jayarami,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,No,Minority (<50%),Negligible declines,,Ongoing,
1810810,186162,Raorchestes jayarami,11.1,Habitat shifting & alteration,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Future,
48886614,48886608,Minervarya sengupti,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,,,,,,,Ongoing,
48886614,48886608,Minervarya sengupti,7.2.9,Small dams,1.2,Ecosystem degradation,,,,,,,Ongoing,
48899453,48874314,Nyctibatrachus deveni,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
48899453,48874314,Nyctibatrachus deveni,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
48899453,48874314,Nyctibatrachus deveni,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
48899453,48874314,Nyctibatrachus deveni,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
48899453,48874314,Nyctibatrachus deveni,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54035787,48874474,Nyctibatrachus acanthodermis,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
54035787,48874474,Nyctibatrachus acanthodermis,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,,,,,,,Ongoing,
54035787,48874474,Nyctibatrachus acanthodermis,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54035787,48874474,Nyctibatrachus acanthodermis,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149121,48874286,Nyctibatrachus gavi,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
54149121,48874286,Nyctibatrachus gavi,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54149121,48874286,Nyctibatrachus gavi,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
54149121,48874286,Nyctibatrachus gavi,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
54149121,48874286,Nyctibatrachus gavi,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149239,48874266,Nyctibatrachus grandis,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
54149239,48874266,Nyctibatrachus grandis,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149239,48874266,Nyctibatrachus grandis,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Future,
54149239,48874266,Nyctibatrachus grandis,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54149239,48874266,Nyctibatrachus grandis,4.1,Roads & railroads,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
54149411,48874250,Nyctibatrachus indraneili,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
54149411,48874250,Nyctibatrachus indraneili,5.3.4,Unintentional effects: (large scale) [harvest],1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
54149411,48874250,Nyctibatrachus indraneili,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149566,48874225,Nyctibatrachus jog,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,,,,,,,Ongoing,
54149566,48874225,Nyctibatrachus jog,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,,,,,,,Ongoing,
54149566,48874225,Nyctibatrachus jog,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,,,,,,,Ongoing,
54149566,48874225,Nyctibatrachus jog,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54149566,48874225,Nyctibatrachus jog,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149566,48874225,Nyctibatrachus jog,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
54149566,48874225,Nyctibatrachus jog,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54149735,48874189,Nyctibatrachus pillaii,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
54149735,48874189,Nyctibatrachus pillaii,4.1,Roads & railroads,2.1,Species mortality,,,,Minority (<50%),,,Ongoing,
54149735,48874189,Nyctibatrachus pillaii,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149735,48874189,Nyctibatrachus pillaii,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
54149735,48874189,Nyctibatrachus pillaii,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
54149735,48874189,Nyctibatrachus pillaii,9.4,Garbage & solid waste,1.2,Ecosystem degradation,,,,,,,Ongoing,
54149741,48874217,Nyctibatrachus periyar,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
54149741,48874217,Nyctibatrachus periyar,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54149741,48874217,Nyctibatrachus periyar,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
54149741,48874217,Nyctibatrachus periyar,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
54149741,48874217,Nyctibatrachus periyar,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
54459738,48873111,Nyctibatrachus vrijeuni,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
54459738,48873111,Nyctibatrachus vrijeuni,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Future,
54459738,48873111,Nyctibatrachus vrijeuni,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
54459738,48873111,Nyctibatrachus vrijeuni,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
