assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
1810810,186162,Raorchestes jayarami,3,Medicine - human & veterinary,,,,true
62020480,177756483,Phoebe bootanica,9,Construction or structural materials,,true,,
63853189,208598052,Amolops monticola,1,Food - human,,,,true
115932944,36652,Aglaia malabarica,9,Construction or structural materials,,,,true
119044958,31170,Vateria macrocarpa,6,Other chemicals,,,,true
119044958,31170,Vateria macrocarpa,11,Other household goods,,true,,true
119044958,31170,Vateria macrocarpa,9,Construction or structural materials,,true,,true
150087543,150087536,Megophrys flavipunctata,1,Food - human,,true,,true
150087783,150087712,Megophrys himalayana,1,Food - human,,true,,true
166113999,158638,Amolops assamensis,1,Food - human,,,,true
169589096,33018,Hopea glabra,9,Construction or structural materials,,,,true
169589143,33022,Hopea racophloea,9,Construction or structural materials,,,,true
169589185,33023,Hopea utilis,9,Construction or structural materials,,,,true
175655465,175655434,Cryptocoryne sivadasanii,13,"Pets/display animals, horticulture",true,true,,
175655465,175655434,Cryptocoryne sivadasanii,16,Establishing ex-situ production *,true,true,,
176691179,176680211,Antidesma khasianum,1,Food - human,,,,true
176861755,176856760,Ormosia robusta,3,Medicine - human & veterinary,,,,true
176861755,176856760,Ormosia robusta,7,Fuels,,,,true
176861755,176856760,Ormosia robusta,9,Construction or structural materials,,,,true
176861795,176857958,Syzygium khasianum,7,Fuels,,,,true
191681934,191681904,Distimake rhyncorhiza,1,Food - human,,,,
197729585,168904,Cryptocoryne cognata,13,"Pets/display animals, horticulture",true,,,
197729585,168904,Cryptocoryne cognata,16,Establishing ex-situ production *,true,,,
197729797,175218,Cryptocoryne consobrina,13,"Pets/display animals, horticulture",true,,,
201031235,33647,Prioria pinnata,7,Fuels,,true,,true
210023247,210010463,Syzygium calophyllifolium,1,Food - human,,,,true
210023277,210013452,Ficus beddomei,2,Food - animal,,true,,true
210023287,210013949,Ficus dalhousiae,2,Food - animal,,,,true
210023287,210013949,Ficus dalhousiae,3,Medicine - human & veterinary,,,,true
218986656,22679330,Syrmaticus humiae,13,"Pets/display animals, horticulture",true,,,
218986656,22679330,Syrmaticus humiae,1,Food - human,true,true,,true
225970391,225970375,Madhuca balakrishnanii,11,Other household goods,,,,true
225970391,225970375,Madhuca balakrishnanii,7,Fuels,,,,true
225970391,225970375,Madhuca balakrishnanii,2,Food - animal,,,,true
230253271,82031633,Sousa plumbea,1,Food - human,,,,true
231194805,33007,Dipterocarpus alatus,11,Other household goods,true,true,,
231194805,33007,Dipterocarpus alatus,3,Medicine - human & veterinary,,true,,true
231194805,33007,Dipterocarpus alatus,9,Construction or structural materials,true,true,,
